"Format","AiM CSV File"
"Session","23.077°N, 113.530°E"
"Vehicle","A03_AF25"
"Racer","AGX_26"
"Championship",""
"Comment",""
"Date","Sunday, January 25, 2026"
"Time","1:57 PM"
"Sample Rate","20"
"Duration","89"
"Segment","Session"
"Beacon Markers","89"
"Segment Times","1:29.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","Channel01","Channel02","Channel03","Channel04","Channel05","Channel06","Channel07","Channel08","InlineAcc","LateralAcc","VerticalAcc","Luminosity","L MOTOR SPEED","R MOTOR SPEED","L Motor Torque","R Motor Torque","Battery Volt","Battery Current","Battery Soc","Motor Ineff Flag","EBS Ineff Type","EBS Error Type","AS State Flag","R2D Flag dup 1","Motor Algorithm","RES State Flag","EBS State Flag","AMI Task Flag","State Flag","EBS Trig Latch","Drive State Flag","HV Flag dup 1","EBS Error Flag","EBS Ineff Flag","GC Lost Flag","ASB Ready Flag","Motor Error Info","Steer Offset Fla","Steer Motor Pst","Brake Pst","Acc-1","Acc-2","Ave Acc","Ave Brake","Ave Steer","Steer Sense","EBS Gas","Brake Gas","Brake Sense","IGBT Temp L","Motor Temp L","Motor Temp R","Inverter Temp L","Inverter Temp R","VehSpd","GYRO Z","AGX Finish Flag","AGX Speed","Steer AGX Pst","AGX Target dece","AGX End Flag","AGX Ready Flag","AGX Brake Flag","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","mV","mV","mV","mV","mV","mV","mV","mV","g","g","g","%","rpm","rpm","Nm","Nm","V","A","%","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","%","%","#","#","deg","#","#","#","#","#","#","#","#","#","km/h","deg/s","#","km/h","#","#","#","#","#","m"

"42.150","9.7249","12","-0.0353","-0.0907","-1.5214","-46.5321","-6.9640","-6.9125","32.3000","0.2600","22.2252","23.07710908","113.53027319","55.0729","11.2667","-70.7950","-72.3575","-72.2575","-72.7200","-72.7075","-72.6500","-71.9450","-73.6550","0.5525","0.7295","-2.1504","118.0417","1907.3158","1697.0000","0.0072","1.5004","579.5547","1.2541","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44242.0117","0.0000","0.0000","0.0000","0.0000","0.0000","-39.9789","1706.2316","614.3579","2254.3474","959.0211","29.0000","3.0000","2.0000","29.0000","29.0000","11.2331","16.9548","0.0000","10.8000","-9.6224","0.0000","0.0000","0.0000","0.0000","102.4601"
"42.200","9.5831","12","0.0010","-0.0910","-1.6237","-47.1288","0.3026","-6.9344","32.3000","0.2600","504.0204","23.07710985","113.53027235","55.0781","11.2660","-70.9925","-71.8600","-72.5025","-72.5400","-72.8975","-72.8550","-72.6625","-73.9925","0.5669","0.6216","-2.1133","118.0938","1917.8422","1687.0000","-0.0134","1.3715","579.9000","1.0590","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44620.4297","0.0000","0.0000","0.0000","0.0000","0.0000","-39.4947","1713.0737","612.0000","2252.6211","956.4316","29.0000","3.0000","2.0000","29.0000","29.0000","11.1573","18.9654","0.0000","10.8000","-9.6697","0.0000","0.0000","0.0000","0.0000","102.5949"
"42.250","9.4374","12","0.0256","-0.0835","-1.8274","-47.7231","5.2932","-6.9722","32.3000","0.2600","28.3764","23.07711064","113.53027158","55.0521","11.2560","-71.4300","-72.1175","-71.4600","-72.3425","-72.4650","-73.0325","-72.7600","-73.8525","0.6226","0.5593","-2.0234","118.1458","1915.8422","1692.1052","0.0309","1.2786","579.9000","1.0590","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44583.1250","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1719.8737","612.0000","2251.5684","954.8527","29.0000","3.0000","2.0000","29.0000","29.0000","11.1028","19.1809","0.0000","10.8000","-9.6863","0.0000","0.0000","0.0000","0.0000","102.7275"
"42.300","9.2861","12","0.0340","-0.0654","-2.1713","-48.3142","7.1406","-7.0318","32.3000","0.2600","20.6976","23.07711146","113.53027090","55.0339","11.2493","-71.2375","-72.4500","-71.8800","-72.4700","-73.4775","-72.8000","-72.4875","-73.4975","0.6060","0.6401","-2.0801","118.1927","1908.4736","1703.6842","0.1032","1.2013","579.9000","1.0590","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44552.8320","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1717.7684","611.2737","2249.7896","953.5158","29.0000","3.0000","2.0000","29.0000","29.0000","11.0649","17.9862","0.0000","10.8000","-9.6433","0.0000","0.0000","0.0000","0.0000","102.8580"
"42.350","9.2375","12","0.0420","-0.0532","-2.3291","-47.2004","8.9277","-7.0682","32.3000","0.2621","16.4677","23.07711237","113.53027019","55.0469","11.2560","-70.5575","-72.1325","-71.3700","-73.2350","-73.0575","-73.0650","-71.8075","-72.2300","0.6121","0.6509","-2.0967","118.2188","1895.6316","1693.3684","0.1382","1.8336","579.9000","1.0590","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44700.7266","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1715.5790","609.6948","2247.1580","952.4631","29.0000","3.0000","2.0000","29.0000","29.0000","11.0520","17.8961","0.0000","10.8000","-9.6750","0.0000","0.0000","0.0000","0.0000","102.9869"
"42.400","9.3306","12","0.0495","-0.0492","-2.2301","-43.7322","10.6316","-7.0728","32.3000","0.2671","13.9678","23.07711342","113.53026945","55.0599","11.2627","-71.4875","-71.7475","-72.0375","-73.7950","-72.5700","-72.8625","-71.9500","-73.0500","0.6416","0.6274","-2.0508","118.2448","1881.4210","1677.5790","0.1640","2.6434","579.8200","1.1592","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44850.8008","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1712.9474","609.2947","2247.1790","952.5895","29.2947","3.0000","2.0000","29.0000","29.0000","11.0520","18.3750","0.0000","10.8000","-9.7944","0.0000","0.0000","0.0000","0.0000","103.1156"
"42.450","9.4295","12","0.0716","-0.0349","-2.2342","-40.9087","15.5726","-7.0853","32.3000","0.2700","9.6371","23.07711448","113.53026873","55.0417","11.2640","-71.5300","-72.3175","-71.4525","-72.2475","-72.7100","-73.3375","-71.6850","-72.6200","0.6445","0.6050","-2.0732","118.2500","1883.3158","1682.6316","0.1620","2.4366","579.6095","1.4229","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45010.8008","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1712.3684","609.8210","2249.2842","953.6421","29.8211","3.0000","2.0000","29.0000","29.0000","11.0808","17.9020","0.0000","10.8000","-9.8349","0.0000","0.0000","0.0000","0.0000","103.2456"
"42.500","9.5365","12","0.1140","-0.0061","-2.3806","-38.9756","24.9841","-7.1086","32.3000","0.2700","6.0750","23.07711555","113.53026806","55.0156","11.2640","-71.4475","-71.5975","-70.4200","-72.2000","-73.1700","-73.3325","-72.2025","-73.9175","0.6011","0.6436","-2.1152","118.2500","1887.0000","1690.0000","0.1568","2.1168","579.5000","1.5600","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45237.4102","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1717.6316","613.1263","2253.4736","955.7368","29.6526","3.0000","2.0000","29.0000","29.0000","11.1187","17.1283","0.0000","10.8000","-9.8133","0.0000","0.0000","0.0000","0.0000","103.3769"
"42.550","9.4960","12","0.1441","0.0153","-2.5466","-38.1578","31.6670","-7.1397","32.3000","0.2679","4.7726","23.07711653","113.53026743","55.0312","11.2600","-71.0175","-71.8575","-71.8775","-72.0400","-72.9875","-72.5250","-72.3125","-73.1375","0.6040","0.6406","-2.0957","118.2708","1892.2632","1693.1578","0.0691","2.0755","579.5000","1.5600","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45635.3047","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1719.8632","617.8632","2258.7368","958.3684","29.1263","3.0000","2.0000","29.0000","29.0000","11.1240","17.7849","0.0000","10.8000","-9.8630","0.0000","0.0000","0.0000","0.0000","103.5091"
"42.600","9.2517","12","0.1576","0.0265","-2.7398","-38.8800","34.5820","-7.1815","32.3000","0.2629","4.2579","23.07711738","113.53026684","55.1094","11.2500","-70.5700","-72.3050","-71.3475","-71.0550","-72.7800","-72.7950","-72.1025","-73.4100","0.6411","0.6250","-2.0605","118.3229","1897.3158","1694.8422","-0.0067","2.0399","579.4084","1.5173","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45911.6016","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1716.7053","619.0000","2258.8000","958.6000","29.0000","3.0000","2.0000","29.0000","29.0000","11.1240","18.6744","0.0000","10.8000","-9.9493","0.0000","0.0000","0.0000","0.0000","103.6403"
"42.650","9.1161","12","0.1569","0.0321","-2.9220","-38.6163","34.3464","-7.2244","32.3000","0.2600","4.2242","23.07711833","113.53026628","55.1875","11.2400","-70.8150","-72.6375","-71.1350","-72.6600","-72.6450","-72.8225","-72.5350","-73.8150","0.6094","0.6750","-2.1133","118.3750","1900.4736","1683.2632","0.0242","2.0554","579.2505","1.4436","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45989.4961","0.0000","0.0000","0.0000","0.0000","0.0000","-38.7579","1717.1790","619.0000","2257.2209","958.0737","29.0000","3.0000","2.0000","29.0000","29.0000","11.0876","18.6140","0.0000","10.8000","-9.9968","0.0000","0.0000","0.0000","0.0000","103.7681"
"42.700","9.1304","12","0.1366","0.0301","-3.0890","-36.9908","29.7599","-7.2690","32.3000","0.2600","4.8829","23.07711943","113.53026576","55.1484","11.2500","-70.9275","-71.1125","-71.5975","-73.5250","-72.5725","-73.3375","-72.2575","-73.5600","0.5591","0.6699","-2.1289","118.4531","1902.4736","1675.8948","0.0438","2.0730","579.2000","1.4200","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46068.3984","0.0000","0.0000","0.0000","0.0000","0.0000","-38.2316","1721.9158","619.0000","2258.3579","959.8105","29.0000","3.0000","2.0000","29.0000","29.0000","11.0531","18.4875","0.0000","10.8000","-10.0321","0.0000","0.0000","0.0000","0.0000","103.8948"
"42.750","9.2628","12","0.1188","0.0273","-3.1077","-35.1434","25.7230","-7.2988","32.3000","0.2621","5.7311","23.07712058","113.53026518","55.1094","11.2600","-71.2000","-71.8100","-71.0050","-72.6800","-72.9825","-73.8050","-72.0300","-73.9200","0.6348","0.6055","-2.0112","118.5312","1899.8422","1685.3684","0.0181","2.0987","579.2000","1.4200","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46148.3984","0.0000","0.0000","0.0000","0.0000","0.0000","-38.2947","1720.1685","619.0000","2259.9368","961.9158","29.0000","3.0000","2.0000","29.0000","29.0000","11.0721","17.9454","0.0000","10.8000","-10.0433","0.0000","0.0000","0.0000","0.0000","104.0220"
"42.800","9.5583","12","0.1041","0.0235","-2.9219","-32.9895","22.4450","-7.3083","32.3000","0.2671","6.7777","23.07712180","113.53026454","55.0781","11.2640","-71.0400","-72.1050","-71.6100","-72.0275","-72.8000","-71.8275","-72.2100","-73.8950","0.6685","0.6577","-2.0215","118.5781","1897.5264","1692.0000","0.0294","2.1400","579.2000","1.4200","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46331.2734","0.0000","0.0000","0.0000","0.0000","0.0000","-38.8211","1713.3263","619.0000","2260.0000","960.9895","29.5053","3.0000","2.0000","29.0000","29.0000","11.0880","17.7620","0.0000","10.8000","-10.0507","0.0000","0.0000","0.0000","0.0000","104.1515"
"42.850","9.7013","12","0.0962","0.0207","-2.8677","-31.6101","20.6370","-7.3275","32.3000","0.2721","7.4817","23.07712295","113.53026396","55.0521","11.2640","-71.3675","-71.8625","-71.2250","-71.9900","-73.9575","-72.6975","-72.0400","-73.6125","0.5891","0.6936","-2.1201","118.6042","1895.9474","1692.0000","0.1274","2.2174","579.2000","1.4200","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46588.6406","0.0000","0.0000","0.0000","0.0000","0.0000","-39.3474","1707.8737","618.6842","2259.6526","959.8737","30.0000","3.0000","2.0000","29.0000","29.0000","11.0880","19.4620","0.0000","10.8000","-10.1369","0.0000","0.0000","0.0000","0.0000","104.2850"
"42.900","9.6335","12","0.0976","0.0194","-2.9954","-31.3002","20.8592","-7.3600","32.3000","0.2771","7.3504","23.07712400","113.53026349","55.0365","11.2613","-71.4900","-71.4975","-71.8075","-72.5250","-73.0850","-73.6200","-72.6825","-73.3525","0.6040","0.6855","-2.0781","118.6406","1902.0330","1687.1648","0.1431","2.3866","579.1537","1.5293","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46850.6641","0.0000","0.0000","0.0000","0.0000","0.0000","-39.8737","1703.1368","613.4211","2253.8630","957.7684","30.0000","3.0000","2.0000","29.0000","29.0000","11.0978","20.8076","0.0000","10.8000","-10.2190","0.0000","0.0000","0.0000","0.0000","104.4194"
"42.950","9.6024","12","0.0981","0.0196","-3.0603","-30.5188","20.8912","-7.3821","32.3000","0.2800","7.3154","23.07712508","113.53026300","55.0625","11.2480","-70.2925","-71.8050","-69.1550","-74.5150","-73.2425","-73.0675","-72.0250","-74.2050","0.6553","0.7053","-2.0205","118.7188","1919.6154","1675.0769","0.0354","2.6935","579.1011","1.6535","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-47114.8750","0.0000","0.0000","0.0000","0.0000","0.0000","-40.4000","1696.0000","609.2526","2249.0000","955.7474","29.9158","3.0000","2.0000","29.0000","29.0000","11.1357","21.1444","0.0000","10.8000","-10.1864","0.0000","0.0000","0.0000","0.0000","104.5531"
"43.000","9.6218","12","0.0973","0.0219","-3.0386","-29.0862","20.6608","-7.3900","32.3000","0.2800","7.4119","23.07712619","113.53026249","55.0885","11.2347","-71.2175","-71.2975","-71.4075","-73.4575","-72.9975","-72.7275","-72.3475","-74.6375","0.6235","0.6880","-2.0957","118.7969","1928.8511","1677.7128","-0.0128","2.9101","578.9969","1.6565","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46978.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-40.9263","1688.1052","610.8316","2249.0000","954.1684","29.3895","3.0000","2.0000","29.0000","29.0000","11.1736","21.3676","0.0000","10.8000","-10.1351","0.0000","0.0000","0.0000","0.0000","104.6866"
"43.050","9.5673","9","0.0712","0.0026","-3.1511","-28.1436","15.1004","-7.4145","32.3000","0.2800","10.0837","23.07712731","113.53026204","55.0729","11.2427","-70.8600","-72.0275","-71.8325","-72.4525","-71.9400","-74.7350","-73.0675","-73.5325","0.5996","0.6123","-2.1221","118.8333","1932.0426","1691.0106","-0.0180","3.0612","578.9000","1.6570","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-46728.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-40.5474","1693.7894","611.1790","2248.5894","952.3158","29.0000","3.0000","2.0000","29.0000","29.0000","11.2115","21.3886","0.0000","10.8000","-9.9856","0.0000","0.0000","0.0000","0.0000","104.8199"
"43.100","9.4108","9","0.0101","-0.0463","-3.4488","-27.8780","2.1795","-7.4621","32.3000","0.2800","68.7202","23.07712842","113.53026169","55.0469","11.2560","-71.4850","-72.9750","-71.2350","-72.8375","-73.2200","-73.9175","-72.8200","-73.8375","0.6304","0.6250","-2.0547","118.8594","1940.3684","1691.3158","-0.0160","2.9297","578.9000","1.6570","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45980.5703","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0211","1701.6842","608.0211","2247.0105","949.6842","29.0000","3.0000","2.0000","29.0000","29.0000","11.2407","21.6106","0.0000","10.8000","-9.8636","0.0000","0.0000","0.0000","0.0000","104.9518"
"43.150","9.2859","9","-0.0573","-0.1050","-3.6611","-27.6200","-12.2715","-7.5035","32.3000","0.2800","12.0433","23.07712951","113.53026133","55.0365","11.2613","-71.3625","-72.0225","-71.3875","-71.9400","-72.8175","-72.3225","-73.4325","-74.1475","0.6248","0.6492","-2.0547","118.9062","1950.8948","1686.0526","-0.0108","2.6769","578.9000","1.6570","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-45165.3047","0.0000","0.0000","0.0000","0.0000","0.0000","-40.0000","1703.5157","606.5684","2246.1895","948.9474","29.0000","3.0000","2.0000","29.0000","29.0000","11.2597","22.0685","0.0000","10.8000","-9.8199","0.0000","0.0000","0.0000","0.0000","105.0818"
"43.200","9.2046","9","-0.1334","-0.1774","-3.7554","-27.3726","-28.8356","-7.5365","32.3000","0.2800","5.0804","23.07713057","113.53026096","55.0495","11.2547","-71.2075","-71.4975","-71.7525","-71.8025","-72.5825","-72.6925","-71.9350","-73.1900","0.6123","0.6338","-2.0742","118.9844","1938.4945","1688.0769","-0.0141","2.5273","578.9000","1.6570","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44645.0742","0.0000","0.0000","0.0000","0.0000","0.0000","-39.9684","1705.0947","608.1473","2246.7158","951.5789","29.0000","3.0000","2.0000","29.0000","29.0000","11.2680","21.6393","0.0000","10.8000","-9.7548","0.0000","0.0000","0.0000","0.0000","105.2104"
"43.250","8.8185","9","-0.1790","-0.2247","-4.3851","-31.3158","-39.5319","-7.6370","32.3000","0.2905","3.5503","23.07713129","113.53026066","55.0625","11.2480","-70.9775","-72.4875","-71.1300","-72.2850","-73.5075","-73.2325","-72.3075","-73.6825","0.6226","0.5955","-2.0225","119.0625","1920.3627","1691.9231","-0.0195","2.4035","578.8264","1.6101","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44159.5000","0.0000","0.0000","0.0000","0.0000","0.0000","-39.4421","1706.6737","610.6948","2249.1790","954.2105","29.0000","3.0000","2.0000","29.0000","29.0000","11.2680","20.5129","0.0000","10.8000","-9.6484","0.0000","0.0000","0.0000","0.0000","105.3361"
"43.300","8.0114","9","-0.1822","-0.2371","-5.7544","-41.0460","-42.1251","-7.8307","32.3000","0.3155","3.0268","23.07713155","113.53026046","55.0495","11.2513","-71.5675","-71.8475","-71.5775","-73.4775","-73.4775","-74.0475","-71.7025","-73.9700","0.6064","0.6025","-2.0430","119.0885","1926.2554","1707.6383","-0.0196","1.8033","578.5632","1.4428","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-44003.2500","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1709.0105","614.3790","2253.9158","956.8421","29.0000","3.0000","2.0000","29.0000","29.0000","11.2680","20.2898","0.0000","10.8000","-9.5663","0.0000","0.0000","0.0000","0.0000","105.4536"
"43.350","7.3434","9","-0.1496","-0.2313","-6.9548","-46.0473","-35.5650","-7.9768","32.3000","0.3363","3.2862","23.07713199","113.53026028","55.0365","11.2547","-70.8475","-71.7925","-71.6875","-73.8975","-72.7025","-73.1900","-71.7725","-73.2125","0.5928","0.6526","-2.0879","119.1146","1932.7368","1720.1052","-0.0191","1.2936","578.6600","1.2906","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-43810.0430","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1715.3263","618.6526","2258.9473","960.6526","29.0000","3.0000","2.0000","29.0000","29.0000","11.2680","20.5319","0.0000","10.8000","-9.5127","0.0000","0.0000","0.0000","0.0000","105.5612"
"43.400","6.8675","9","-0.0674","-0.2001","-7.9219","-44.5182","-16.3646","-8.0572","32.3000","0.3513","6.6791","23.07713269","113.53026014","55.0078","11.2580","-71.0550","-71.9700","-71.1625","-72.7300","-72.7725","-73.0525","-71.9700","-73.1675","0.6025","0.6406","-2.0742","119.1562","1940.1052","1701.1578","-0.0139","1.6856","579.3442","1.1632","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-43422.8086","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1719.5895","623.3895","2264.2104","965.3895","29.0000","3.0000","2.0000","29.0000","29.0000","11.2392","20.5900","0.0000","10.8000","-9.4113","0.0000","0.0000","0.0000","0.0000","105.6609"
"43.450","6.5157","9","0.0154","-0.1708","-8.8624","-41.8470","4.8805","-8.1556","32.2790","0.3684","21.2483","23.07713348","113.53026010","54.9688","11.2613","-70.5475","-71.4750","-72.1125","-73.0775","-72.9175","-73.1150","-72.8925","-74.5525","0.5911","0.6267","-2.0742","119.2083","1943.7894","1686.1052","-0.0108","2.0271","579.7000","1.0970","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-42752.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1718.0105","623.9579","2264.2632","965.6105","29.0000","3.0000","2.0000","29.0000","29.0000","11.2013","20.5900","0.0000","10.8000","-9.2693","0.0000","0.0000","0.0000","0.0000","105.7538"
"43.500","6.3353","9","0.0992","-0.1442","-9.7660","-37.5986","28.9491","-8.2786","32.2290","0.3884","3.4830","23.07713440","113.53026022","54.9375","11.2633","-70.9100","-71.6375","-71.9975","-73.5025","-73.2000","-73.4400","-72.1175","-73.9200","0.6064","0.6021","-2.0918","119.2604","1932.7368","1686.6316","-0.0160","2.1663","579.7000","1.0970","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-41352.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1717.5685","622.3790","2261.6316","963.5052","29.0000","3.0000","2.0000","29.0000","29.0000","11.1960","20.1600","0.0000","10.8000","-9.0005","0.0000","0.0000","0.0000","0.0000","105.8432"
"43.550","6.4017","9","0.1660","-0.1162","-10.0252","-31.5512","49.3342","-8.3568","32.2000","0.4042","2.0652","23.07713539","113.53026027","54.9375","11.2600","-71.3675","-73.4200","-70.9400","-72.3025","-73.1450","-73.3425","-72.9350","-73.5925","0.6155","0.6218","-2.1133","119.3125","1921.3684","1688.4210","-0.0196","2.3303","579.7000","1.0970","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-40009.4180","0.0000","0.0000","0.0000","0.0000","0.0000","-39.0000","1719.1473","621.2000","2261.3999","964.6000","29.0000","3.0000","2.0000","29.0000","29.0000","11.1960","19.6600","0.0000","10.8000","-8.6664","0.0000","0.0000","0.0000","0.0000","105.9315"
"43.600","6.8089","9","0.2094","-0.0862","-9.3942","-23.0195","64.6324","-8.3730","32.2000","0.4142","1.6767","23.07713648","113.53026021","54.9375","11.2567","-71.5950","-72.4900","-72.2200","-72.4300","-73.0725","-73.3125","-72.4425","-73.8250","0.6089","0.6196","-2.0918","119.3646","1909.2632","1693.1578","-0.0196","2.5521","579.7000","1.0970","91.0000","0.0000","0.0000","0.0000","3.0000","1.0000","0.0000","2.0000","1.0000","2.0000","2.0000","0.0000","1.0000","1.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","-38760.5156","0.0000","0.0000","0.0000","0.0000","0.0000","-38.7579","1722.6632","620.1473","2261.9263","966.7053","29.0000","3.0000","2.0000","29.0000","29.0000","11.1960","19.2105","0.0000","10.8000","-8.1796","0.0000","0.0000","0.0000","0.0000","106.0226"
