"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","LoggerTemp","External Voltage","Channel01","Channel02","Channel03","Channel04","Channel05","Channel06","Channel07","Channel08","InlineAcc","LateralAcc","VerticalAcc","Luminosity","L MOTOR SPEED","R MOTOR SPEED","L Motor Torque","R Motor Torque","Battery Volt","Battery Current","Battery Soc","Motor Ineff Flag","EBS Ineff Type","EBS Error Type","AS State Flag","R2D Flag dup 1","Motor Algorithm","RES State Flag","EBS State Flag","AMI Task Flag","State Flag","EBS Trig Latch","Drive State Flag","HV Flag dup 1","EBS Error Flag","EBS Ineff Flag","GC Lost Flag","ASB Ready Flag","Motor Error Info","Steer Offset Fla","Steer Motor Pst","Brake Pst","Acc-1","Acc-2","Ave Acc","Ave Brake","Ave Steer","Steer Sense","EBS Gas","Brake Gas","Brake Sense","IGBT Temp L","Motor Temp L","Motor Temp R","Inverter Temp L","Inverter Temp R","VehSpd","GYRO Z","AGX Finish Flag","AGX Speed","Steer AGX Pst","AGX Target dece","AGX End Flag","AGX Ready Flag","AGX Brake Flag","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","°C","V","mV","mV","mV","mV","mV","mV","mV","mV","g","g","g","%","rpm","rpm","Nm","Nm","V","A","%","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","%","%","#","#","deg","#","#","#","#","#","#","#","#","#","km/h","deg/s","#","km/h","#","#","#","#","#","m"

"39.450","14.9706","9","0.0042","0.0076","2.5151","-90.2575","0.5752","4.7230","17.4000","0.1400","414.1943","23.07698896","113.53030085","45.1021","11.3305","-82.7500","-85.1750","-84.7000","-82.2750","-86.3625","-86.3625","-84.2125","-86.4750","0.7114","0.5435","-1.9736","118.4802","2482.3474","2458.5159","1.9376","1.9759","545.7000","3.0590","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.3579","28.8211","0.0000","0.0000","1.1053","2258.1157","466.7263","2513.5894","952.7263","30.0000","6.9263","6.0000","27.0000","26.0000","15.1041","9.3052","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","127.2877"
"39.500","14.9733","9","-0.0177","0.0019","2.3822","-90.1122","-2.3961","4.7000","17.4000","0.1400","99.4566","23.07698900","113.53029878","45.1542","11.3339","-83.2250","-85.1125","-85.0875","-84.7250","-87.3375","-86.9875","-84.8125","-89.2625","0.6621","0.4707","-2.0645","118.4542","2467.6106","2416.9368","1.9221","1.9553","545.7821","3.1120","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.6526","28.3053","0.0000","0.0000","2.3474","2273.0842","465.6737","2512.0105","951.6737","30.0000","7.0000","6.0000","27.0000","26.0000","15.1037","7.1054","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","127.4957"
"39.550","14.9494","9","-0.0338","-0.0031","1.9689","-92.4143","-4.5778","4.6374","17.4000","0.1400","51.9742","23.07698870","113.53029668","45.1969","11.3336","-83.6250","-85.4125","-85.1500","-86.4000","-86.7625","-86.2250","-84.8000","-87.9875","0.5835","0.4437","-2.1494","118.4469","2458.7683","2397.4631","1.8864","1.9057","545.8874","3.1799","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.1263","27.2526","0.0000","0.0000","2.8737","2276.2422","465.0000","2511.1895","951.1895","30.0000","7.0000","6.0000","27.0000","26.0000","15.0847","4.8790","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","127.7035"
"39.600","14.9317","9","-0.0431","-0.0054","1.6525","-94.0185","-5.8277","4.5874","17.4000","0.1400","40.7783","23.07698847","113.53029460","45.2229","11.3269","-83.2875","-84.7500","-84.7750","-85.6250","-85.4625","-85.6000","-84.9500","-87.8000","0.6177","0.4375","-2.0762","118.4729","2465.0842","2434.8315","1.7988","1.7819","545.7147","3.0532","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.4000","27.0000","0.0000","0.0000","2.2000","2270.2000","465.0000","2511.7158","951.7158","30.0000","7.0000","6.0000","27.0000","26.0000","15.1567","2.8144","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","127.9111"
"39.650","14.9333","9","-0.0305","0.0008","1.6434","-93.4123","-4.1271","4.5771","17.4000","0.1400","57.5879","23.07698846","113.53029256","45.2490","11.3203","-83.6375","-84.0625","-84.6875","-85.9750","-86.4875","-86.2000","-84.7500","-87.5750","0.6572","0.4877","-2.0254","118.4990","2466.3999","2442.8000","1.7013","1.6601","545.5042","2.9001","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.9263","27.0000","0.0000","0.0000","1.1474","2261.2527","465.2421","2511.7578","952.0000","30.0000","7.0000","6.0000","27.0000","26.0000","15.2268","0.9097","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","128.1185"
"39.700","14.9342","9","-0.0166","0.0077","1.5944","-92.8614","-2.2430","4.5674","17.3880","0.1388","105.9655","23.07698842","113.53029050","45.1750","11.3232","-83.8500","-84.5875","-84.5375","-87.3750","-87.0125","-87.6250","-85.2875","-87.2000","0.6157","0.5977","-2.1387","118.5000","2459.5579","2402.8000","1.5878","1.5415","545.5000","2.8970","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.4526","27.0000","0.0000","0.0000","0.0947","2246.4211","465.7684","2511.2317","952.0000","30.0000","7.0000","6.0000","27.0000","26.0000","15.2079","1.4044","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","128.3259"
"39.750","14.9329","9","0.0017","0.0167","1.4190","-92.4859","0.2217","4.5597","17.3380","0.1338","1071.7728","23.07698830","113.53028838","45.0969","11.3265","-83.8250","-84.7500","-84.5000","-86.3375","-86.3625","-86.9875","-85.8875","-87.0250","0.6167","0.6199","-2.1807","118.5000","2458.2737","2369.3684","1.4322","1.3882","545.5000","2.8970","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.9789","27.0000","0.0000","0.0000","-0.9579","2230.6316","465.7053","2511.2947","952.0000","29.7053","6.9158","6.0000","27.0000","26.0000","15.1950","1.8949","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","128.5333"
"39.800","14.9884","8","0.0218","0.0236","1.2923","-91.8827","2.9453","4.5570","17.3000","0.1300","80.9935","23.07698820","113.53028626","45.0625","11.3261","-83.5125","-85.5000","-84.9000","-85.3000","-86.3375","-86.7500","-85.6500","-87.1000","0.6182","0.5688","-2.0840","118.5000","2463.0105","2343.0527","1.2311","1.1974","545.5000","2.8970","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.4947","26.4947","0.0000","0.0000","-2.0105","2215.3474","465.1790","2511.8210","952.0000","29.1789","6.3895","6.0000","27.0000","26.0000","15.2140","2.3634","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","128.7407"
"39.850","15.2237","8","0.0482","0.0243","1.3197","-90.5585","6.4881","4.5697","17.3000","0.1300","37.3443","23.07698815","113.53028413","45.0625","11.3228","-83.5875","-85.7375","-84.4500","-85.7250","-86.9250","-86.5000","-85.4125","-86.9750","0.5454","0.5220","-2.0439","118.5000","2467.1370","2388.1685","1.1616","1.1651","545.5379","2.8182","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.9684","26.0316","0.0000","0.0000","-2.9684","2201.4736","464.3053","2511.6526","952.6948","29.0000","6.0000","6.0000","27.0000","26.0000","15.2231","2.8003","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","128.9499"
"39.900","15.3673","8","0.0701","0.0237","1.3321","-89.6351","9.4245","4.5769","17.3000","0.1300","25.9514","23.07698813","113.53028200","45.0542","11.3195","-83.6250","-85.3500","-85.2125","-86.0250","-87.3125","-86.7875","-85.0250","-87.1375","0.4836","0.5122","-2.1230","118.5000","2470.8210","2485.0105","1.1873","1.2476","545.7484","2.3803","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.4421","26.5579","0.0000","0.0000","-2.4421","2209.3684","463.2526","2511.1262","953.7474","29.0000","6.0000","6.0000","27.0000","26.0000","15.2041","3.1477","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","129.1618"
"39.950","15.2205","8","0.0779","0.0188","1.2967","-89.9812","10.4406","4.5667","17.3000","0.1300","23.2019","23.07698817","113.53027992","45.0021","11.3161","-85.1750","-85.1500","-84.4375","-85.7625","-86.9750","-85.9750","-84.7375","-87.5375","0.5684","0.5181","-2.1240","118.5000","2475.9368","2495.9580","1.2061","1.2705","545.9000","2.0650","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.0842","27.0000","0.0000","0.0000","-1.8316","2218.3579","464.6000","2511.3999","953.6000","29.0000","6.0000","6.0000","27.0000","26.0000","15.1852","3.3321","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","129.3744"
"40.000","15.1168","8","0.0828","0.0138","1.2636","-90.2240","11.0663","4.5606","17.2880","0.1300","21.7409","23.07698818","113.53027783","44.9500","11.3128","-83.8125","-85.0750","-85.2375","-85.7875","-86.5750","-86.0000","-85.7375","-87.7750","0.6523","0.5562","-2.0605","118.5000","2481.7263","2466.4841","1.2216","1.2653","545.9000","2.0650","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.6105","27.0000","0.0000","0.0000","-0.7789","2233.0947","466.7053","2511.9263","953.0737","29.0000","6.0000","6.0000","27.0000","26.0000","15.1662","3.2268","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","129.5853"
"40.050","15.1496","8","0.0783","0.0086","1.2376","-90.1397","10.4555","4.5671","17.2380","0.1300","23.0610","23.07698810","113.53027572","44.9276","11.3145","-84.3750","-84.5125","-84.6000","-86.0125","-86.1000","-87.0625","-85.3000","-87.3625","0.6567","0.6384","-2.0469","118.5396","2474.7896","2469.0315","1.2049","1.2280","546.0600","2.0766","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.1368","26.8632","0.0000","0.0000","0.9579","2257.1370","466.0947","2511.5474","951.1895","29.0000","6.0000","6.0000","27.0000","26.0000","15.1386","3.6808","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","129.7954"
"40.100","15.1694","8","0.0618","0.0020","1.2256","-89.8119","8.2412","4.5730","17.2000","0.1288","29.2953","23.07698810","113.53027361","44.9146","11.3179","-83.5250","-85.6250","-84.6250","-85.8125","-86.7500","-86.6125","-85.5250","-87.9000","0.5801","0.5542","-2.1484","118.5917","2464.2632","2480.6106","1.1791","1.1816","546.4811","2.1071","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.6632","26.3368","0.0000","0.0000","4.6421","2307.6631","465.0421","2511.0210","949.0842","29.0000","6.0000","6.0000","27.0000","26.0000","15.1007","4.7914","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","130.0059"
"40.150","15.1481","8","0.0071","-0.0090","1.2581","-88.7134","0.9495","4.5768","17.2000","0.1238","253.9262","23.07698833","113.53027150","44.9437","11.3176","-84.0000","-84.7875","-84.9875","-86.9500","-86.8375","-86.4375","-85.3250","-86.7625","0.5425","0.4218","-2.1572","118.6344","2449.5684","2497.7473","1.1215","1.1125","546.7000","2.1230","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.6211","26.1895","0.0000","0.0000","6.8105","2335.4526","463.4842","2511.0000","950.0105","29.0000","6.0000","6.0000","27.0000","26.0000","15.0734","2.7718","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","130.2165"
"40.200","15.1058","8","-0.0332","-0.0185","1.2888","-88.3456","-4.4258","4.5787","17.2000","0.1212","54.3220","23.07698850","113.53026942","45.0479","11.3109","-83.7375","-85.3000","-84.9625","-85.7500","-86.7125","-86.6375","-85.6500","-87.2875","0.5605","0.4229","-2.1055","118.6604","2434.3052","2515.6421","1.0596","1.0402","546.7000","2.1230","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.5684","26.7158","0.0000","0.0000","6.2842","2322.8210","462.0947","2511.0000","951.0000","29.0000","6.0000","6.0000","27.0000","26.0000","15.0544","-1.7072","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","130.4268"
"40.250","14.9968","8","-0.0280","-0.0231","1.3141","-90.2921","-3.7319","4.5744","17.2000","0.1262","63.9563","23.07698847","113.53026741","45.1521","11.3043","-83.8250","-85.7500","-84.8375","-85.9250","-86.5875","-86.8375","-85.0000","-87.3000","0.5659","0.5500","-2.1104","118.6865","2423.1685","2419.5474","1.0635","1.0287","546.7000","2.1230","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.0000","27.2421","0.0000","0.0000","5.5158","2309.4631","463.6737","2511.0000","951.0000","29.0000","6.0000","6.0000","27.0000","26.0000","15.0230","-2.3685","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","130.6361"
"40.300","14.9457","8","-0.0244","-0.0262","1.3114","-91.4936","-3.2674","4.5668","17.1880","0.1300","72.7999","23.07698848","113.53026537","45.1437","11.3072","-84.8250","-84.6125","-84.2125","-85.7625","-86.3625","-87.4250","-84.2625","-87.1500","0.5693","0.5684","-2.1367","118.6625","2413.6316","2327.4421","1.0694","1.0217","546.7000","2.1230","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.0000","27.7684","0.0000","0.0000","4.4632","2295.2527","465.0842","2511.2527","951.1684","29.0000","6.0000","6.0000","27.0000","26.0000","14.9851","-1.0633","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","130.8443"
"40.350","15.0783","8","-0.0263","-0.0248","1.2205","-90.3361","-3.5291","4.5484","17.1380","0.1300","68.0001","23.07698865","113.53026324","45.1307","11.3105","-84.0625","-85.0125","-85.3625","-86.1875","-86.8625","-87.0625","-85.0750","-87.5250","0.6096","0.5178","-2.0918","118.6365","2421.5264","2307.9685","1.0849","1.0526","546.7358","2.1047","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","13.7053","28.0000","0.0000","0.0000","2.8211","2276.3264","465.6105","2512.8315","952.2211","29.0000","6.0000","6.0000","27.0000","26.0000","14.9616","0.3420","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","131.0526"
"40.400","15.1360","8","-0.0223","-0.0209","1.1551","-89.5458","-3.0032","4.5239","17.0880","0.1288","80.2136","23.07698887","113.53026114","45.1250","11.3139","-83.5625","-85.3875","-85.1875","-85.9625","-86.1500","-84.6375","-84.7625","-86.8250","0.6748","0.5210","-1.9971","118.6250","2424.1157","2309.4316","1.0920","1.0780","546.7885","2.0779","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","13.1789","28.0000","0.0000","0.0000","0.7158","2253.6948","466.0000","2513.7263","953.4105","29.0000","6.0000","6.0000","27.0000","26.0000","14.9426","1.7788","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","131.2623"
"40.450","14.9563","8","0.0001","-0.0088","1.1709","-89.9183","0.0167","4.4799","17.0380","0.1238","10000.0000","23.07698923","113.53025914","45.1250","11.3172","-83.1000","-84.8375","-84.9625","-85.5750","-87.1875","-87.1125","-85.2750","-86.9750","0.6643","0.5105","-2.0166","118.6250","2402.5369","2406.2737","1.0611","1.0780","546.7590","1.9620","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","13.6947","27.3053","0.0000","0.0000","0.0000","2245.3052","466.0000","2512.6736","954.9895","29.0000","6.0000","6.0000","27.0000","26.0000","14.9074","1.3554","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","131.4718"
"40.500","14.8316","8","0.0160","-0.0026","1.1701","-90.1782","2.1660","4.4383","16.9880","0.1200","108.9806","23.07698961","113.53025715","45.1250","11.3195","-84.1000","-85.0375","-85.7875","-85.7000","-86.9000","-86.5750","-85.2875","-87.1125","0.6401","0.5752","-2.0410","118.6167","2394.3684","2469.6631","1.0504","1.0910","546.7064","1.8209","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.7474","26.2526","0.0000","0.0000","0.0000","2244.2527","465.4316","2511.8105","955.0526","29.0000","6.0000","6.0000","27.0000","26.0000","14.8695","0.6290","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","131.6790"
"40.550","14.8808","8","0.0115","-0.0151","1.1172","-90.0814","1.5583","4.4043","16.9380","0.1200","151.9806","23.07699004","113.53025518","45.1250","11.3161","-84.0250","-85.0750","-84.8000","-85.2500","-86.4000","-86.4500","-86.0000","-87.6250","0.6206","0.6577","-2.0645","118.5646","2420.6843","2447.0315","1.0916","1.1374","546.7000","1.8040","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.6000","26.8000","0.0000","0.0000","-0.4000","2238.3999","463.8526","2511.2842","952.4211","29.0000","6.0000","6.0000","27.0000","26.0000","14.8498","2.4897","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","131.8855"
"40.600","14.9073","8","0.0104","-0.0233","1.0537","-89.9251","1.4141","4.3659","16.9000","0.1200","167.7850","23.07699047","113.53025320","45.1250","11.3128","-84.3375","-83.9625","-83.7000","-85.3750","-86.8625","-86.0000","-85.4375","-87.1500","0.5698","0.6465","-2.1250","118.5125","2434.8000","2420.3999","1.1152","1.1446","546.7000","1.8040","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.0737","27.8526","0.0000","0.0000","-0.9263","2231.0315","463.9684","2511.7263","952.2105","29.0000","6.0000","6.0000","27.0000","26.0000","14.8297","4.3930","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","132.0923"
"40.650","14.8622","8","0.0201","-0.0179","0.9568","-89.5800","2.7372","4.3136","16.9000","0.1200","86.4149","23.07699092","113.53025120","45.1052","11.3145","-85.8875","-83.5875","-84.4500","-86.0375","-86.6500","-86.3250","-85.2500","-87.2000","0.5127","0.6318","-2.1660","118.5594","2429.0105","2387.2422","1.1101","1.0879","546.7000","1.8040","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.0000","27.0947","0.0000","0.0000","-0.0947","2243.5789","466.0737","2513.3052","954.8421","29.0000","6.0000","6.0000","27.0000","26.0000","14.7918","5.2773","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","132.2991"
"40.700","14.8163","8","0.0320","-0.0142","0.8785","-89.1505","4.3635","4.2707","16.8880","0.1200","54.0415","23.07699129","113.53024920","45.0792","11.3179","-84.4500","-84.9625","-84.4375","-85.2875","-86.8125","-86.1875","-84.7000","-87.4000","0.5283","0.5430","-2.1367","118.6375","2419.6843","2353.8315","1.1198","1.0832","546.7126","1.8132","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.0000","26.0421","0.0000","0.0000","0.9579","2259.3684","466.7053","2513.4106","955.4105","29.0000","6.0000","6.0000","27.0000","26.0000","14.7539","5.8448","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","132.5054"
"40.750","14.7681","8","0.0509","-0.0159","0.8589","-88.4535","6.9493","4.2579","16.8380","0.1200","33.8223","23.07699144","113.53024720","45.0578","11.3188","-83.8500","-85.0125","-86.3250","-84.9625","-87.1750","-86.8250","-85.5625","-86.4375","0.5840","0.4550","-2.0586","118.6781","2406.5264","2320.1475","1.1456","1.1347","546.8705","1.9285","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","14.5053","26.0000","0.0000","0.0000","1.5053","2266.5684","466.1790","2512.3579","954.3579","29.0000","6.0000","6.0000","27.0000","26.0000","14.7160","4.7501","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","132.7110"
"40.800","14.7275","9","0.0596","-0.0176","0.8265","-88.1171","8.1394","4.2461","16.8000","0.1200","28.7976","23.07699156","113.53024520","45.0448","11.3155","-84.2625","-85.3875","-86.3625","-85.6375","-86.6000","-87.0500","-84.5625","-87.4875","0.5840","0.4353","-2.0352","118.6521","2397.0315","2347.2104","1.1444","1.1564","547.0000","2.0230","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","15.0632","26.0000","0.0000","0.0000","2.1263","2274.4211","466.0000","2512.0000","955.0421","29.0000","6.0000","6.0000","27.0000","26.0000","14.6831","3.7074","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","132.9160"
"40.850","14.7112","9","0.0359","-0.0192","0.7540","-88.9228","4.9099","4.2377","16.8000","0.1200","47.6871","23.07699159","113.53024316","45.0318","11.3121","-84.0750","-81.1000","-83.7500","-86.4625","-86.3375","-87.2625","-84.6500","-87.5625","0.5552","0.6033","-2.1064","118.6260","2390.1895","2418.2632","1.1238","1.1564","547.0000","2.0230","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.1158","26.0000","0.0000","0.0000","4.2316","2298.1052","466.0000","2512.0000","956.6210","29.0000","6.0000","6.0000","27.0000","26.0000","14.6641","2.8126","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","133.1205"
"40.900","14.6971","9","0.0227","-0.0179","0.7086","-89.3375","3.1116","4.2347","16.8000","0.1200","75.1735","23.07699164","113.53024113","45.0563","11.3152","-84.1000","-83.7000","-84.5250","-86.9250","-86.9625","-87.1125","-85.7000","-86.7000","0.6113","0.6597","-2.0723","118.6250","2384.7791","2437.7791","1.1172","1.1599","546.9558","1.9962","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.9158","26.1684","0.0000","0.0000","6.0000","2318.0842","464.8000","2511.6001","955.0000","29.0000","6.0000","6.0000","27.0000","26.0000","14.6315","2.5015","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","133.3247"
"40.950","14.6897","9","0.0425","-0.0076","0.7490","-88.5142","5.8459","4.2485","16.8000","0.1200","39.9926","23.07699173","113.53023912","45.0823","11.3185","-83.9250","-85.2250","-84.9250","-86.7500","-87.2750","-86.5125","-84.9375","-86.4500","0.6055","0.6836","-2.0557","118.6250","2380.0420","2433.0420","1.1172","1.1651","546.7979","1.9004","61.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","1.0000","2.0000","1.0000","3.0000","0.0000","0.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.0000","16.3895","27.2211","0.0000","0.0000","6.0000","2318.6106","463.2210","2511.0737","952.3684","29.0000","6.0000","6.0000","27.0000","26.0000","14.5747","3.2278","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","133.5288"
